method,sample_type,seed,training_accuracy,testing_accuracy,training_time,f1_score,roc_auc
DecisionTreeClassifier,random,0,0.7119416590701915,0.9054545454545454,0.0015178219764493406,0.8888888888888888,0.9071575083666199
DecisionTreeClassifier,random,1,0.7019143117593437,0.8981818181818182,0.003182329994160682,0.8727272727272727,0.9504210299039189
DecisionTreeClassifier,random,2,0.7210574293527803,0.8909090909090909,0.0010305659961886704,0.8837209302325582,0.8994490358126722
DecisionTreeClassifier,random,3,0.707383773928897,0.8836363636363637,0.0010032250138465315,0.8584070796460177,0.9038996439697375
DecisionTreeClassifier,random,4,0.7101185050136737,0.9018181818181819,0.0009847100009210408,0.8744186046511628,0.889916693714162
DecisionTreeClassifier,random,5,0.7110300820419325,0.8872727272727273,0.0009978750022128224,0.8784313725490196,0.8990210683124068
DecisionTreeClassifier,random,6,0.7183226982680037,0.9236363636363636,0.0009744810231495649,0.9149797570850202,0.9516086076488761
DecisionTreeClassifier,random,7,0.7101185050136737,0.850909090909091,0.0010432599810883403,0.8056872037914692,0.9105539327058314
DecisionTreeClassifier,random,8,0.7137648131267093,0.8872727272727273,0.0009749019809532911,0.8734693877551021,0.9299062874577748
DecisionTreeClassifier,random,9,0.6927985414767548,0.88,0.0009829170012380928,0.8571428571428571,0.9447810374149661
DecisionTreeClassifier,random,10,0.699179580674567,0.88,0.0009828770125750452,0.852017937219731,0.9270699614890886
DecisionTreeClassifier,random,11,0.7128532360984503,0.8654545454545455,0.0009743309929035604,0.8451882845188284,0.8810151615029663
DecisionTreeClassifier,random,12,0.7183226982680037,0.8763636363636363,0.0009883370075840503,0.864,0.8698655913978495
DecisionTreeClassifier,random,13,0.7010027347310848,0.9054545454545454,0.0009966319776140153,0.8859649122807017,0.9210215053763441
DecisionTreeClassifier,random,14,0.6918869644484958,0.8690909090909091,0.0009766650036908686,0.8434782608695652,0.9413284329391712
DecisionTreeClassifier,random,15,0.7119416590701915,0.88,0.0009774870122782886,0.8754716981132076,0.9101504556050011
DecisionTreeClassifier,random,16,0.707383773928897,0.8909090909090909,0.0009689510043244809,0.8780487804878049,0.927712783084684
DecisionTreeClassifier,random,17,0.7082953509571559,0.8472727272727273,0.0009630590211600065,0.8359375,0.8592718814237802
DecisionTreeClassifier,random,18,0.7046490428441203,0.8581818181818182,0.0009624490048736334,0.8202764976958525,0.9182980316645271
DecisionTreeClassifier,random,19,0.7164995442114859,0.88,0.0009438830020371825,0.8858131487889274,0.9243890828308474
