method,sample_type,seed,training_accuracy,testing_accuracy,training_time,f1_score,roc_auc
DecisionTreeClassifier,random,0,0.5961713764813127,0.3236363636363636,0.0015416999995068181,0.18421052631578946,0.14619993522616861
DecisionTreeClassifier,random,1,0.5961713764813127,0.14545454545454545,0.0012938399995618965,0.0784313725490196,0.13359602720500915
DecisionTreeClassifier,random,2,0.6034639927073838,0.16727272727272727,0.0013076100003672764,0.008658008658008658,0.16075969485060396
DecisionTreeClassifier,random,3,0.6043755697356427,0.16727272727272727,0.0012533400004031137,0.04979253112033195,0.13584779706275035
DecisionTreeClassifier,random,4,0.5806745670009116,0.16363636363636364,0.0012792600027751178,0.049586776859504134,0.14370334307043167
DecisionTreeClassifier,random,5,0.6061987237921604,0.1709090909090909,0.0012236399998073466,0.15555555555555556,0.16939774420089382
DecisionTreeClassifier,random,6,0.6080218778486782,0.09818181818181818,0.0013049099979980383,0.12056737588652482,0.09883349312879512
DecisionTreeClassifier,random,7,0.601640838650866,0.22545454545454546,0.0013000500002817716,0.1087866108786611,0.1612571675862815
DecisionTreeClassifier,random,8,0.5815861440291704,0.1890909090909091,0.0012591900012921542,0.01762114537444934,0.14707965566089137
DecisionTreeClassifier,random,9,0.6025524156791249,0.11636363636363636,0.0013510800017684232,0.06177606177606178,0.09332482993197277
DecisionTreeClassifier,random,10,0.6071103008204193,0.21454545454545454,0.0012419100021361373,0.05263157894736842,0.07795785194694052
DecisionTreeClassifier,random,11,0.6052871467639015,0.24,0.001244250001036562,0.10300429184549356,0.16232696110744887
DecisionTreeClassifier,random,12,0.5989061075660893,0.12,0.0012456900003599003,0.08333333333333333,0.10107526881720433
DecisionTreeClassifier,random,13,0.5870556061987238,0.10545454545454545,0.0012748500012094155,0.08888888888888889,0.09129032258064514
DecisionTreeClassifier,random,14,0.609845031905196,0.09454545454545454,0.0017716500005917624,0.11387900355871886,0.1034142963673165
DecisionTreeClassifier,random,15,0.5979945305378305,0.18545454545454546,0.0014283900018199347,0.17647058823529413,0.11368934096206823
DecisionTreeClassifier,random,16,0.5970829535095715,0.13090909090909092,0.0014274899986048695,0.05533596837944664,0.13998604701084041
DecisionTreeClassifier,random,17,0.585232452142206,0.21818181818181817,0.0013850100003764965,0.0851063829787234,0.17256302066428647
DecisionTreeClassifier,random,18,0.593436645396536,0.12,0.0015028199995867908,0.17123287671232876,0.11125374411638855
DecisionTreeClassifier,random,19,0.5824977210574294,0.15272727272727274,0.0013031099988438655,0.03319502074688797,0.12567438908283082
DecisionTreeClassifier,random,20,0.6034639927073838,0.09454545454545454,0.0014125499983492773,0.08791208791208792,0.09278737791134486
DecisionTreeClassifier,random,21,0.5989061075660893,0.13090909090909092,0.0013107599988870788,0.1672473867595819,0.13602271509696776
DecisionTreeClassifier,random,22,0.5806745670009116,0.10909090909090909,0.00135791999855428,0.14634146341463414,0.10584000000000002
DecisionTreeClassifier,random,23,0.5679124886052871,0.27636363636363637,0.001396080002450617,0.0,0.22783264309227996
DecisionTreeClassifier,random,24,0.5834092980856882,0.16727272727272727,0.0013340699988475535,0.05761316872427984,0.14088633216149993
DecisionTreeClassifier,random,25,0.5870556061987238,0.08,0.0013769100005447399,0.10600706713780919,0.0911633109619687
DecisionTreeClassifier,random,26,0.5952597994530537,0.11272727272727273,0.0013710599996556994,0.1223021582733813,0.09459678289970852
DecisionTreeClassifier,random,27,0.5569735642661805,0.3236363636363636,0.0015370200017059688,0.0,0.19542940793754066
DecisionTreeClassifier,random,28,0.601640838650866,0.1709090909090909,0.0013461300004564691,0.06557377049180328,0.16335044929396658
DecisionTreeClassifier,random,29,0.5952597994530537,0.13454545454545455,0.0013861799998267088,0.13138686131386862,0.10072984866373295
DecisionTreeClassifier,random,30,0.5943482224247949,0.13818181818181818,0.0013415399989753496,0.15658362989323843,0.13496770094249708
DecisionTreeClassifier,random,31,0.5998176845943483,0.15272727272727274,0.0012740400015900377,0.1588447653429603,0.160315232646011
DecisionTreeClassifier,random,32,0.5843208751139471,0.14545454545454545,0.0014196600022842176,0.18118466898954705,0.14638547726783022
DecisionTreeClassifier,random,33,0.6043755697356427,0.16727272727272727,0.001321200001257239,0.21843003412969283,0.2154032258064516
DecisionTreeClassifier,random,34,0.5916134913400183,0.18545454545454546,0.001462050000554882,0.2911392405063291,0.1014296343537415
DecisionTreeClassifier,random,35,0.5788514129443938,0.34545454545454546,0.001328400001511909,0.16666666666666666,0.21212121212121213
DecisionTreeClassifier,random,36,0.5907019143117593,0.1709090909090909,0.001683359998423839,0.05,0.09230230553759963
DecisionTreeClassifier,random,37,0.5861440291704649,0.16727272727272727,0.0014525100013997871,0.08032128514056225,0.15757333333333334
DecisionTreeClassifier,random,38,0.585232452142206,0.15272727272727274,0.0016743600026529748,0.04897959183673469,0.15755968169761275
DecisionTreeClassifier,random,39,0.5870556061987238,0.14181818181818182,0.0014045400021132082,0.23870967741935484,0.1588901894020004
DecisionTreeClassifier,random,40,0.577028258887876,0.12727272727272726,0.001723050001601223,0.14285714285714285,0.11949936224489796
DecisionTreeClassifier,random,41,0.6071103008204193,0.21454545454545454,0.0013194900020607747,0.2751677852348993,0.2793147478186848
DecisionTreeClassifier,random,42,0.5670009115770283,0.33090909090909093,0.0015910200017970055,0.4972677595628415,0.3622047244094488
DecisionTreeClassifier,random,43,0.577939835916135,0.27636363636363637,0.0013059900011285208,0.009950248756218905,0.2436979277932066
DecisionTreeClassifier,random,44,0.5742935278030994,0.2690909090909091,0.001323180000326829,0.0,0.20431135181055537
DecisionTreeClassifier,random,45,0.5861440291704649,0.2545454545454545,0.0013505400020221714,0.2906574394463668,0.20113585245164192
DecisionTreeClassifier,random,46,0.5989061075660893,0.19272727272727272,0.0013308299967320636,0.13953488372093023,0.09353361031213381
DecisionTreeClassifier,random,47,0.5943482224247949,0.11636363636363636,0.0014684400011901744,0.16494845360824742,0.1013440860215054
DecisionTreeClassifier,random,48,0.5806745670009116,0.17454545454545456,0.00135791999855428,0.21993127147766323,0.18416162259743016
DecisionTreeClassifier,random,49,0.5989061075660893,0.13090909090909092,0.0014612400009355042,0.14336917562724014,0.11482666666666669
DecisionTreeClassifier,random,50,0.6125797629899726,0.12,0.0012948299990966916,0.18243243243243243,0.13954301075268818
DecisionTreeClassifier,random,51,0.6080218778486782,0.21818181818181817,0.0016413299999840092,0.044444444444444446,0.20171195652173912
DecisionTreeClassifier,random,52,0.5989061075660893,0.08727272727272728,0.0013274999982968438,0.038314176245210725,0.08741768325596457
DecisionTreeClassifier,random,53,0.593436645396536,0.29818181818181816,0.0015732899992144667,0.4306784660766962,0.14549333333333336
DecisionTreeClassifier,random,54,0.577939835916135,0.2509090909090909,0.0013373100009630434,0.0,0.21529202202310266
DecisionTreeClassifier,random,55,0.5870556061987238,0.13090909090909092,0.001373130002320977,0.1672473867595819,0.09554347826086954
DecisionTreeClassifier,random,56,0.5979945305378305,0.07636363636363637,0.001364669999020407,0.09285714285714286,0.0699769938650307
DecisionTreeClassifier,random,57,0.601640838650866,0.2509090909090909,0.0013124700017215218,0.0,0.2169811320754717
DecisionTreeClassifier,random,58,0.5925250683682771,0.12363636363636364,0.0014225400009308942,0.0398406374501992,0.11654277095453566
DecisionTreeClassifier,random,59,0.5961713764813127,0.17454545454545456,0.0013736700020672288,0.2747603833865815,0.09513656482780956
DecisionTreeClassifier,random,60,0.577028258887876,0.23636363636363636,0.0014340599991555791,0.3558282208588957,0.20841397849462368
DecisionTreeClassifier,random,61,0.5916134913400183,0.09818181818181818,0.0015633000002708286,0.0948905109489051,0.07855347973342078
DecisionTreeClassifier,random,62,0.5797629899726527,0.08727272727272728,0.0012845700002799276,0.1254355400696864,0.06050420168067226
DecisionTreeClassifier,random,63,0.6052871467639015,0.16727272727272727,0.0013088699997751974,0.09486166007905138,0.12990249780893956
DecisionTreeClassifier,random,64,0.5761166818596172,0.22545454545454546,0.0013253399993118364,0.34055727554179566,0.14532608695652172
DecisionTreeClassifier,random,65,0.5815861440291704,0.2,0.0012862799994763918,0.2361111111111111,0.21015808587908566
DecisionTreeClassifier,random,66,0.5806745670009116,0.13818181818181818,0.0013348799984669313,0.07782101167315175,0.13421750663129975
DecisionTreeClassifier,random,67,0.5861440291704649,0.08727272727272728,0.0013315500000317115,0.1254355400696864,0.10231182795698925
DecisionTreeClassifier,random,68,0.5761166818596172,0.2,0.001315170000452781,0.043478260869565216,0.11186666666666671
DecisionTreeClassifier,random,69,0.593436645396536,0.10909090909090909,0.0012932999998156447,0.12811387900355872,0.09911988837608673
DecisionTreeClassifier,random,70,0.5952597994530537,0.12727272727272726,0.0014480099998763762,0.1044776119402985,0.1267277402764384
DecisionTreeClassifier,random,71,0.6080218778486782,0.23272727272727273,0.0016006499972718302,0.27986348122866894,0.29503617791019365
DecisionTreeClassifier,random,72,0.601640838650866,0.08727272727272728,0.00128573999973014,0.045627376425855515,0.07936
DecisionTreeClassifier,random,73,0.5970829535095715,0.27636363636363637,0.0013428899983409792,0.05687203791469194,0.14026525198938994
DecisionTreeClassifier,random,74,0.5943482224247949,0.13818181818181818,0.001344689997495152,0.16842105263157894,0.11489293704058803
DecisionTreeClassifier,random,75,0.5733819507748404,0.3709090909090909,0.001320209998084465,0.5336927223719676,0.13353123662815577
DecisionTreeClassifier,random,76,0.5715587967183227,0.32727272727272727,0.0013361399978748523,0.0,0.32608695652173914
DecisionTreeClassifier,random,77,0.577939835916135,0.10909090909090909,0.001224539999384433,0.13427561837455831,0.11848253159180205
DecisionTreeClassifier,random,78,0.6107566089334548,0.11636363636363636,0.0012766500003635883,0.054474708171206226,0.11266165579750195
DecisionTreeClassifier,random,79,0.5897903372835005,0.16363636363636364,0.0013275899982545525,0.267515923566879,0.09022556390977446
DecisionTreeClassifier,random,80,0.5961713764813127,0.11636363636363636,0.0012987899972358719,0.1033210332103321,0.13037348371994043
DecisionTreeClassifier,random,81,0.5943482224247949,0.11636363636363636,0.0013355999981286004,0.06177606177606178,0.11715053763440858
DecisionTreeClassifier,random,82,0.6034639927073838,0.14909090909090908,0.0013150800004950725,0.24516129032258063,0.09341791368466709
DecisionTreeClassifier,random,83,0.5843208751139471,0.12,0.0013177799992263317,0.06201550387596899,0.12691738072569556
DecisionTreeClassifier,random,84,0.6043755697356427,0.09454545454545454,0.0013551299998653121,0.053231939163498096,0.06783999999999998
DecisionTreeClassifier,random,85,0.593436645396536,0.1890909090909091,0.001275750000786502,0.11155378486055777,0.15665395210849756
DecisionTreeClassifier,random,86,0.6198723792160438,0.19636363636363635,0.00130148999960511,0.17228464419475656,0.14013682396035335
DecisionTreeClassifier,random,87,0.5797629899726527,0.18181818181818182,0.001311479998548748,0.16356877323420074,0.18246533290991845
DecisionTreeClassifier,random,88,0.5870556061987238,0.10545454545454545,0.0013201200017647352,0.08208955223880597,0.07374655647382923
DecisionTreeClassifier,random,89,0.6043755697356427,0.26181818181818184,0.0014019299997016788,0.00975609756097561,0.16897118033481667
DecisionTreeClassifier,random,90,0.5925250683682771,0.07636363636363637,0.0013278599981276784,0.12413793103448276,0.05815018315018317
DecisionTreeClassifier,random,91,0.5943482224247949,0.1781818181818182,0.0012856499997724313,0.2709677419354839,0.16423999999999997
DecisionTreeClassifier,random,92,0.5916134913400183,0.11272727272727273,0.0013135500012140255,0.05426356589147287,0.10940530058177118
DecisionTreeClassifier,random,93,0.5943482224247949,0.11636363636363636,0.0012862799994763918,0.047058823529411764,0.10839419921668256
DecisionTreeClassifier,random,94,0.6071103008204193,0.3018181818181818,0.0012266999983694404,0.4074074074074074,0.19111537232342596
DecisionTreeClassifier,random,95,0.5761166818596172,0.2872727272727273,0.0014904000017850194,0.391304347826087,0.1800329506802721
DecisionTreeClassifier,random,96,0.5907019143117593,0.21454545454545454,0.0016296299982059281,0.34146341463414637,0.19493333333333332
DecisionTreeClassifier,random,97,0.5952597994530537,0.2,0.0012826799975300673,0.03508771929824561,0.2010303745840936
DecisionTreeClassifier,random,98,0.6007292616226071,0.16727272727272727,0.00135063000197988,0.268370607028754,0.227554347826087
DecisionTreeClassifier,random,99,0.5943482224247949,0.20727272727272728,0.0012970800016773865,0.15503875968992248,0.10902175077681345
DecisionTreeClassifier,neighborwise,0,0.6007292616226071,0.21818181818181817,0.0013771800004178658,0.1568627450980392,0.24471013710460976
