method,sample_type,seed,training_accuracy,testing_accuracy,training_time,f1_score,roc_auc
DecisionTreeClassifier,random,0,0.5961713764813127,0.3236363636363636,0.0023511019826401025,0.18421052631578946,0.14619993522616861
DecisionTreeClassifier,random,1,0.5961713764813127,0.14545454545454545,0.0010316859988961369,0.0784313725490196,0.13359602720500915
DecisionTreeClassifier,random,2,0.6034639927073838,0.16727272727272727,0.0010076589824166149,0.008658008658008658,0.16075969485060396
DecisionTreeClassifier,random,3,0.6043755697356427,0.16727272727272727,0.0010520840005483478,0.04979253112033195,0.13584779706275035
DecisionTreeClassifier,random,4,0.5806745670009116,0.16363636363636364,0.0009874100214801729,0.049586776859504134,0.14370334307043167
DecisionTreeClassifier,random,5,0.6061987237921604,0.1709090909090909,0.0010338300198782235,0.15555555555555556,0.16939774420089382
DecisionTreeClassifier,random,6,0.6080218778486782,0.09818181818181818,0.00099826100631617,0.12056737588652482,0.09883349312879512
DecisionTreeClassifier,random,7,0.601640838650866,0.22545454545454546,0.001100897992728278,0.1087866108786611,0.1612571675862815
DecisionTreeClassifier,random,8,0.5815861440291704,0.1890909090909091,0.0010004460054915398,0.01762114537444934,0.14707965566089137
DecisionTreeClassifier,random,9,0.6025524156791249,0.11636363636363636,0.0010068569972645491,0.06177606177606178,0.09332482993197277
DecisionTreeClassifier,random,10,0.6071103008204193,0.21454545454545454,0.0010158840159419924,0.05263157894736842,0.07795785194694052
DecisionTreeClassifier,random,11,0.6052871467639015,0.24,0.0009818999969866127,0.10300429184549356,0.16232696110744887
DecisionTreeClassifier,random,12,0.5989061075660893,0.12,0.0010506410035304725,0.08333333333333333,0.10107526881720433
DecisionTreeClassifier,random,13,0.5870556061987238,0.10545454545454545,0.0010079089843202382,0.08888888888888889,0.09129032258064514
DecisionTreeClassifier,random,14,0.609845031905196,0.09454545454545454,0.0010238800023216754,0.11387900355871886,0.1034142963673165
DecisionTreeClassifier,random,15,0.5979945305378305,0.18545454545454546,0.0010272369836457074,0.17647058823529413,0.11368934096206823
DecisionTreeClassifier,random,16,0.5970829535095715,0.13090909090909092,0.0011201440065633506,0.05533596837944664,0.13998604701084041
DecisionTreeClassifier,random,17,0.585232452142206,0.21818181818181817,0.0009895740076899529,0.0851063829787234,0.17256302066428647
DecisionTreeClassifier,random,18,0.593436645396536,0.12,0.0010221069969702512,0.17123287671232876,0.11125374411638855
DecisionTreeClassifier,random,19,0.5824977210574294,0.15272727272727274,0.001016705995425582,0.03319502074688797,0.12567438908283082
DecisionTreeClassifier,random,20,0.6034639927073838,0.09454545454545454,0.0009803170105442405,0.08791208791208792,0.09278737791134486
DecisionTreeClassifier,random,21,0.5989061075660893,0.13090909090909092,0.0010141819948330522,0.1672473867595819,0.13602271509696776
DecisionTreeClassifier,random,22,0.5806745670009116,0.10909090909090909,0.0009891740046441555,0.14634146341463414,0.10584000000000002
DecisionTreeClassifier,random,23,0.5679124886052871,0.27636363636363637,0.0010740559955593199,0.0,0.22783264309227996
DecisionTreeClassifier,random,24,0.5834092980856882,0.16727272727272727,0.0009858179837465286,0.05761316872427984,0.14088633216149993
DecisionTreeClassifier,random,25,0.5870556061987238,0.08,0.0009918090072460473,0.10600706713780919,0.0911633109619687
