method,sample_type,seed,training_accuracy,testing_accuracy,training_time,f1_score,roc_auc
DecisionTreeClassifier,random,0,0.9945305378304466,0.7563636363636363,0.003928018995793536,0.7172995780590717,0.7506207492173161
DecisionTreeClassifier,random,1,0.9981768459434822,0.7163636363636363,0.0030285420070867985,0.688,0.7161826622044694
DecisionTreeClassifier,random,2,0.9963536918869644,0.7890909090909091,0.003041416988708079,0.7751937984496124,0.7878787878787878
DecisionTreeClassifier,random,3,0.9954421148587056,0.7709090909090909,0.0026118800160475075,0.7296137339055794,0.7721128170894526
DecisionTreeClassifier,random,4,0.9963536918869644,0.7818181818181819,0.002765634999377653,0.7619047619047619,0.7889213458833713
DecisionTreeClassifier,random,5,0.9936189608021878,0.7454545454545455,0.0025138980126939714,0.7307692307692307,0.7471270483081508
DecisionTreeClassifier,random,6,0.9927073837739289,0.7090909090909091,0.0023493230110034347,0.6875,0.7095983807393204
DecisionTreeClassifier,random,7,0.9936189608021878,0.7781818181818182,0.0027713350136764348,0.7489711934156379,0.7774261603375527
DecisionTreeClassifier,random,8,0.9945305378304466,0.7527272727272727,0.002618061989778653,0.7166666666666667,0.7530238640078458
DecisionTreeClassifier,random,9,0.9981768459434822,0.7563636363636363,0.0026765100192278624,0.7452471482889734,0.7545705782312924
DecisionTreeClassifier,random,10,0.9945305378304466,0.7236363636363636,0.0031490960100200027,0.7076923076923077,0.7242993153615748
DecisionTreeClassifier,random,11,0.9972652689152234,0.7490909090909091,0.0032233620004262775,0.703862660944206,0.7496704021094265
DecisionTreeClassifier,random,12,0.9954421148587056,0.72,0.0027293979946989566,0.6695278969957081,0.7096774193548387
DecisionTreeClassifier,random,13,0.9972652689152234,0.7854545454545454,0.002666050015250221,0.7591836734693878,0.784274193548387
DecisionTreeClassifier,random,14,0.9954421148587056,0.8218181818181818,0.0027206119848415256,0.8122605363984674,0.8222541813145839
DecisionTreeClassifier,random,15,0.9963536918869644,0.6836363636363636,0.0029400789935607463,0.6947368421052632,0.6835664335664337
DecisionTreeClassifier,random,16,0.9954421148587056,0.7963636363636364,0.0027162139886058867,0.7795275590551181,0.7984061393152303
DecisionTreeClassifier,random,17,0.9981768459434822,0.68,0.002909552014898509,0.6589147286821705,0.6888997078870498
DecisionTreeClassifier,random,18,0.9954421148587056,0.6909090909090909,0.0027744219987653196,0.6530612244897959,0.6910034231921266
DecisionTreeClassifier,random,19,0.9936189608021878,0.7709090909090909,0.0026228810020256788,0.7604562737642585,0.7668465037554215
DecisionTreeClassifier,random,20,0.9972652689152234,0.7454545454545455,0.0029371729760896415,0.7131147540983607,0.7453847805087475
DecisionTreeClassifier,random,21,0.9945305378304466,0.7490909090909091,0.002642356004798785,0.7315175097276264,0.755464480874317
DecisionTreeClassifier,random,22,0.9963536918869644,0.7527272727272727,0.003304734011180699,0.734375,0.7526666666666666
DecisionTreeClassifier,random,23,0.9972652689152234,0.7236363636363636,0.0029016879852861166,0.7246376811594203,0.7243283423595626
DecisionTreeClassifier,random,24,0.9936189608021878,0.730909090909091,0.002795570995658636,0.7063492063492064,0.7260573133056355
DecisionTreeClassifier,random,25,0.9981768459434822,0.7672727272727272,0.0025686610024422407,0.751937984496124,0.768962394801321
DecisionTreeClassifier,random,26,0.9927073837739289,0.7090909090909091,0.0027290069847367704,0.6694214876033058,0.7074651840656375
DecisionTreeClassifier,random,27,0.9981768459434822,0.7818181818181819,0.002658767014509067,0.75,0.7834526133159836
DecisionTreeClassifier,random,28,0.9963536918869644,0.7163636363636363,0.0025645120185799897,0.706766917293233,0.7178273427471118
DecisionTreeClassifier,random,29,0.9954421148587056,0.7781818181818182,0.0028654200141318142,0.7626459143968871,0.7835945046688847
DecisionTreeClassifier,random,30,0.9945305378304466,0.7272727272727273,0.0025866439973469824,0.7422680412371134,0.7308323625966324
