method,sample_type,seed,training_accuracy,testing_accuracy,training_time,f1_score,roc_auc
DecisionTreeClassifier,random,0,0.8796718322698268,0.9090909090909091,0.003156660000968259,0.8927038626609443,0.9101802871639858
DecisionTreeClassifier,random,1,0.8714676390154968,0.8836363636363637,0.0015146099976846017,0.864406779661017,0.908722875958113
DecisionTreeClassifier,random,2,0.8751139471285324,0.8581818181818182,0.0013859999999112915,0.8581818181818182,0.8761919898283534
DecisionTreeClassifier,random,3,0.8687329079307201,0.9090909090909091,0.0013654799986397848,0.8847926267281107,0.92456608811749
DecisionTreeClassifier,random,4,0.8723792160437557,0.9236363636363636,0.0013868099995306693,0.9113924050632911,0.9275127123228389
DecisionTreeClassifier,random,5,0.8477666362807658,0.850909090909091,0.00129096000091522,0.8193832599118943,0.9248510321344967
DecisionTreeClassifier,random,6,0.8769371011850501,0.92,0.0013388399966061115,0.9112903225806451,0.9284648982635559
DecisionTreeClassifier,random,7,0.8814949863263446,0.88,0.0013303800005814992,0.8533333333333334,0.8922968733095316
DecisionTreeClassifier,random,8,0.8705560619872379,0.9272727272727272,0.0012936599996464793,0.9137931034482759,0.9319221967963387
DecisionTreeClassifier,random,9,0.8632634457611669,0.8981818181818182,0.0013795200029562693,0.888,0.9160820578231292
DecisionTreeClassifier,random,10,0.8696444849589791,0.8872727272727273,0.0013223700007074513,0.8634361233480177,0.893747325631151
DecisionTreeClassifier,random,11,0.8787602552415679,0.8618181818181818,0.0012683700006164145,0.8416666666666667,0.8816194243023512
DecisionTreeClassifier,random,12,0.8851412944393802,0.9054545454545454,0.001340909999271389,0.8907563025210085,0.9137634408602149
DecisionTreeClassifier,random,13,0.8732907930720146,0.92,0.0013849200004187878,0.905982905982906,0.9334408602150537
DecisionTreeClassifier,random,14,0.8641750227894257,0.8690909090909091,0.001447829999960959,0.8421052631578947,0.9297432619580271
DecisionTreeClassifier,random,15,0.8714676390154968,0.9163636363636364,0.001333170002908446,0.9132075471698113,0.9257522780250054
DecisionTreeClassifier,random,16,0.8887876025524157,0.8945454545454545,0.0013328099994396325,0.8765957446808511,0.9183750134163358
DecisionTreeClassifier,random,17,0.8687329079307201,0.88,0.0013107600025250576,0.8619246861924686,0.9011684518013632
DecisionTreeClassifier,random,18,0.8805834092980857,0.8945454545454545,0.0013246199996501673,0.8806584362139918,0.8975449293966623
DecisionTreeClassifier,random,19,0.8824065633546034,0.9090909090909091,0.001381590001983568,0.9077490774907749,0.9291230297260129
DecisionTreeClassifier,random,20,0.8705560619872379,0.9018181818181819,0.001303920002101222,0.891566265060241,0.9259418267682731
DecisionTreeClassifier,random,21,0.8723792160437557,0.8945454545454545,0.0013116599984641653,0.8765957446808511,0.9189703203685846
DecisionTreeClassifier,random,22,0.8814949863263446,0.9090909090909091,0.001471049999963725,0.9011857707509882,0.9230399999999999
DecisionTreeClassifier,random,23,0.8723792160437557,0.8872727272727273,0.001490490001742728,0.8793774319066148,0.9138526069873633
DecisionTreeClassifier,random,24,0.8814949863263446,0.9054545454545454,0.0014958899992052466,0.8951612903225806,0.9168264621284754
DecisionTreeClassifier,random,25,0.8769371011850501,0.9309090909090909,0.0014864400000078604,0.9254901960784314,0.9405294556301267
DecisionTreeClassifier,random,26,0.8805834092980857,0.8981818181818182,0.001592729997355491,0.8782608695652174,0.9179261578322359
