method,sample_type,seed,training_accuracy,testing_accuracy,training_time,f1_score,roc_auc
DecisionTreeClassifier,random,0,0.8368277119416591,0.9090909090909091,0.0018928170029539615,0.8927038626609443,0.9101802871639858
DecisionTreeClassifier,random,1,0.837739288969918,0.8836363636363637,0.001248555985512212,0.8666666666666667,0.8957950987800929
DecisionTreeClassifier,random,2,0.8368277119416591,0.8545454545454545,0.001118421001592651,0.855072463768116,0.8728014409832592
DecisionTreeClassifier,random,3,0.8322698268003647,0.9090909090909091,0.0010169809975195676,0.8847926267281107,0.9237872719181129
DecisionTreeClassifier,random,4,0.8322698268003647,0.9127272727272727,0.0012266449921298772,0.8983050847457628,0.9079032781564427
DecisionTreeClassifier,random,5,0.8076572470373746,0.8581818181818182,0.0010927840194199234,0.8266666666666667,0.9387901681208768
DecisionTreeClassifier,random,6,0.8331814038286235,0.9090909090909091,0.0010860409820452332,0.8979591836734694,0.9248695003728561
DecisionTreeClassifier,random,7,0.845943482224248,0.8763636363636363,0.0010685769957490265,0.8495575221238938,0.8887266039164774
DecisionTreeClassifier,random,8,0.8304466727438469,0.8981818181818182,0.001616716996068135,0.8842975206611571,0.9276451999564127
DecisionTreeClassifier,random,9,0.8185961713764813,0.8909090909090909,0.001022131007630378,0.8790322580645161,0.9306972789115646
DecisionTreeClassifier,random,10,0.8322698268003647,0.9054545454545454,0.0010834650020115077,0.8907563025210085,0.917148053059478
DecisionTreeClassifier,random,11,0.8313582497721057,0.88,0.0010297349945176393,0.8558951965065502,0.9023840914084816
DecisionTreeClassifier,random,12,0.8468550592525068,0.88,0.0009752320183906704,0.8653061224489796,0.8919086021505376
DecisionTreeClassifier,random,13,0.8295350957155879,0.9163636363636364,0.000988768006209284,0.902127659574468,0.932768817204301
DecisionTreeClassifier,random,14,0.8231540565177757,0.8690909090909091,0.0010834959975909442,0.8421052631578947,0.9297432619580271
DecisionTreeClassifier,random,15,0.8286235186873291,0.9054545454545454,0.0010812509863171726,0.9029850746268657,0.9154216995126087
DecisionTreeClassifier,random,16,0.8413855970829535,0.8945454545454545,0.0033249270054511726,0.8765957446808511,0.9183750134163358
DecisionTreeClassifier,random,17,0.8295350957155879,0.8581818181818182,0.0010482289944775403,0.8421052631578947,0.8666558476685058
DecisionTreeClassifier,random,18,0.8413855970829535,0.8945454545454545,0.0011311749985907227,0.8806584362139918,0.8975449293966623
DecisionTreeClassifier,random,19,0.8413855970829535,0.88,0.0011354329762980342,0.8817204301075269,0.9227758383581932
DecisionTreeClassifier,random,20,0.8331814038286235,0.9018181818181819,0.0010727860208135098,0.891566265060241,0.9259418267682731
DecisionTreeClassifier,random,21,0.8386508659981768,0.8836363636363637,0.001139339990913868,0.8677685950413223,0.909112825458052
DecisionTreeClassifier,random,22,0.8413855970829535,0.9054545454545454,0.001018984999973327,0.8976377952755905,0.9224533333333332
DecisionTreeClassifier,random,23,0.8331814038286235,0.8872727272727273,0.0010472869907971472,0.8793774319066148,0.9138526069873633
DecisionTreeClassifier,random,24,0.8149498632634458,0.8581818181818182,0.0010402350162621588,0.8251121076233184,0.9348567167359114
DecisionTreeClassifier,random,25,0.8340929808568824,0.9127272727272727,0.0010102080123033375,0.9083969465648855,0.924842867795888
DecisionTreeClassifier,random,26,0.837739288969918,0.8981818181818182,0.0009930859960149974,0.8771929824561403,0.9203281874122855
DecisionTreeClassifier,random,27,0.8404740200546946,0.88,0.0009876349940896034,0.852017937219731,0.8896931251355455
DecisionTreeClassifier,random,28,0.8313582497721057,0.8763636363636363,0.001001352007733658,0.864,0.899015832263586
DecisionTreeClassifier,random,29,0.8359161349134002,0.9090909090909091,0.0009907610074151307,0.900398406374502,0.9211119459053343
DecisionTreeClassifier,random,30,0.8395624430264357,0.9236363636363636,0.001598903996637091,0.9207547169811321,0.9245208090649157
DecisionTreeClassifier,random,31,0.8249772105742935,0.8945454545454545,0.0016591180174145848,0.8722466960352423,0.8898574975709813
DecisionTreeClassifier,random,32,0.8468550592525068,0.9090909090909091,0.0021666909742634743,0.8962655601659751,0.8968164188752423
DecisionTreeClassifier,random,33,0.8386508659981768,0.8909090909090909,0.0010677460231818259,0.8706896551724138,0.8999731182795699
DecisionTreeClassifier,random,34,0.8295350957155879,0.8981818181818182,0.0010964699904434383,0.8861788617886179,0.9310693027210885
DecisionTreeClassifier,random,35,0.8268003646308113,0.92,0.0010477490141056478,0.8942307692307693,0.94633608815427
DecisionTreeClassifier,random,36,0.8231540565177757,0.9054545454545454,0.0011462440015748143,0.8849557522123894,0.903334410687352
DecisionTreeClassifier,random,37,0.8167730173199635,0.8836363636363637,0.001074930012691766,0.8620689655172413,0.9382133333333333
DecisionTreeClassifier,random,38,0.8340929808568824,0.9127272727272727,0.0010372779797762632,0.905511811023622,0.9305835543766579
DecisionTreeClassifier,random,39,0.8359161349134002,0.9127272727272727,0.0010188650048803538,0.9032258064516129,0.9258618855075549
DecisionTreeClassifier,random,40,0.8322698268003647,0.9127272727272727,0.0012885910109616816,0.905511811023622,0.9315210459183674
DecisionTreeClassifier,random,41,0.8313582497721057,0.9381818181818182,0.0010668849863577634,0.9311740890688259,0.9480474569057246
DecisionTreeClassifier,random,42,0.8413855970829535,0.88,0.0018487730121705681,0.8641975308641975,0.8905086188550755
DecisionTreeClassifier,random,43,0.8277119416590701,0.8836363636363637,0.00108643202111125,0.864406779661017,0.9218916898098697
DecisionTreeClassifier,random,44,0.8422971741112124,0.8981818181818182,0.0012847140023950487,0.8923076923076924,0.9088616332165234
DecisionTreeClassifier,random,45,0.8222424794895169,0.8618181818181818,0.0010826040233951062,0.8061224489795918,0.9076698155645525
DecisionTreeClassifier,random,46,0.8313582497721057,0.9163636363636364,0.001135653001256287,0.9045643153526971,0.9169596250133163
DecisionTreeClassifier,random,47,0.8185961713764813,0.9018181818181819,0.0013115539913997054,0.8810572687224669,0.9416397849462366
DecisionTreeClassifier,random,48,0.8422971741112124,0.9090909090909091,0.0011560220154933631,0.8987854251012146,0.9256663480938728
DecisionTreeClassifier,random,49,0.8268003646308113,0.8909090909090909,0.0012475740222726017,0.88,0.9074666666666666
DecisionTreeClassifier,random,50,0.8350045578851413,0.9381818181818182,0.0013381739845499396,0.9276595744680851,0.9472849462365591
DecisionTreeClassifier,random,51,0.8422971741112124,0.9090909090909091,0.001422091998392716,0.8898678414096917,0.9241576086956522
DecisionTreeClassifier,random,52,0.8258887876025525,0.9345454545454546,0.001121706998674199,0.9203539823008849,0.9438087012846811
DecisionTreeClassifier,random,53,0.8304466727438469,0.9054545454545454,0.0011276190052740276,0.8916666666666667,0.9298933333333332
DecisionTreeClassifier,random,54,0.837739288969918,0.9018181818181819,0.0011068889871239662,0.8789237668161435,0.9366026125445321
DecisionTreeClassifier,random,55,0.8195077484047402,0.9054545454545454,0.0013476820022333413,0.8898305084745762,0.9243206521739131
DecisionTreeClassifier,random,56,0.8176845943482224,0.8909090909090909,0.0011118999973405153,0.8514851485148515,0.9553023663453112
DecisionTreeClassifier,random,57,0.8340929808568824,0.88,0.0011967380123678595,0.847926267281106,0.910404467577532
DecisionTreeClassifier,random,58,0.8277119416590701,0.9018181818181819,0.0011007590219378471,0.8778280542986425,0.8945001077354019
DecisionTreeClassifier,random,59,0.8331814038286235,0.8690909090909091,0.0010229420149698853,0.8487394957983193,0.8807621720824788
DecisionTreeClassifier,random,60,0.8085688240656336,0.88,0.0011249939852859825,0.852017937219731,0.941774193548387
DecisionTreeClassifier,random,61,0.837739288969918,0.9090909090909091,0.0015052280214149505,0.8858447488584474,0.9315798098983941
DecisionTreeClassifier,random,62,0.8322698268003647,0.9272727272727272,0.0012254230096004903,0.9019607843137255,0.9280952380952381
DecisionTreeClassifier,random,63,0.8231540565177757,0.8618181818181818,0.001093794999178499,0.831858407079646,0.8946921560035057
DecisionTreeClassifier,random,64,0.8340929808568824,0.8836363636363637,0.0011486980074550956,0.8584070796460177,0.8963858695652175
DecisionTreeClassifier,random,65,0.8176845943482224,0.850909090909091,0.001060954004060477,0.8075117370892019,0.923734244819483
