method,sample_type,seed,training_accuracy,testing_accuracy,training_time,f1_score,roc_auc
DecisionTreeClassifier,control (none),0,0.9863263445761167,0.9709090909090909,0.002593448996776715,0.9655172413793104,0.9916333801144338
DecisionTreeClassifier,control (none),1,0.9881494986326345,0.9709090909090909,0.0028243280248716474,0.9658119658119658,0.9868563100507395
DecisionTreeClassifier,control (none),2,0.98359161349134,0.9781818181818182,0.0015105850179679692,0.9774436090225563,0.9839478703115067
DecisionTreeClassifier,control (none),3,0.9854147675478578,0.9709090909090909,0.0014855079934932292,0.9622641509433962,0.9894025367156208
DecisionTreeClassifier,control (none),4,0.9854147675478578,0.9963636363636363,0.0015254539903253317,0.9957446808510638,0.9965379205885535
DecisionTreeClassifier,control (none),5,0.9890610756608933,0.9527272727272728,0.0014255449932534248,0.9473684210526315,0.9635294743562459
DecisionTreeClassifier,control (none),6,0.9781221513217867,0.9818181818181818,0.0014593779924325645,0.9799196787148594,0.9989613294982422
DecisionTreeClassifier,control (none),7,0.9872379216043756,0.9745454545454545,0.0014271370018832386,0.9696969696969697,0.9920480363518338
DecisionTreeClassifier,control (none),8,0.9808568824065633,0.9745454545454545,0.0014657099964097142,0.9694323144104804,0.9918818786095674
DecisionTreeClassifier,control (none),9,0.9872379216043756,0.9636363636363636,0.0015155949804466218,0.96,0.9866337159863945
DecisionTreeClassifier,control (none),10,0.9854147675478578,0.9672727272727273,0.0014131309872027487,0.9629629629629629,0.9840875053487377
DecisionTreeClassifier,control (none),11,0.9799453053783045,0.96,0.0014569640043191612,0.9493087557603687,0.9867062184135356
DecisionTreeClassifier,control (none),12,0.9854147675478578,0.9745454545454545,0.0014048349985387176,0.9702127659574468,0.9868548387096775
DecisionTreeClassifier,control (none),13,0.9854147675478578,0.9709090909090909,0.0014549399784300476,0.9661016949152542,0.9871505376344086
DecisionTreeClassifier,control (none),14,0.9845031905195989,0.9854545454545455,0.0014651490200776607,0.9841269841269841,0.9925428784489188
DecisionTreeClassifier,control (none),15,0.9854147675478578,0.9709090909090909,0.0013946449907962233,0.9692307692307692,0.9871000211909303
DecisionTreeClassifier,control (none),16,0.9826800364630811,0.9854545454545455,0.001428669987944886,0.9833333333333333,0.995089621122679
DecisionTreeClassifier,control (none),17,0.9854147675478578,0.9781818181818182,0.0013845569919794798,0.9741379310344828,0.9917775613978146
DecisionTreeClassifier,control (none),18,0.9881494986326345,0.96,0.001429110998287797,0.9543568464730291,0.9798085151904151
DecisionTreeClassifier,control (none),19,0.9863263445761167,0.96,0.0014104649890214205,0.959409594095941,0.9795303078387814
