method,sample_type,seed,training_accuracy,testing_accuracy,training_time,f1_score,roc_auc
DecisionTreeClassifier,random,0,0.8796718322698268,0.9090909090909091,0.0021430870110634714,0.8927038626609443,0.9101802871639858
DecisionTreeClassifier,random,1,0.8714676390154968,0.8836363636363637,0.001268512976821512,0.864406779661017,0.908722875958113
DecisionTreeClassifier,random,2,0.8751139471285324,0.8581818181818182,0.0010384010092820972,0.8581818181818182,0.8761919898283534
DecisionTreeClassifier,random,3,0.8687329079307201,0.9090909090909091,0.0010218899988103658,0.8847926267281107,0.92456608811749
DecisionTreeClassifier,random,4,0.8723792160437557,0.9236363636363636,0.0009997290035244077,0.9113924050632911,0.9275127123228389
DecisionTreeClassifier,random,5,0.8477666362807658,0.850909090909091,0.0010539100039750338,0.8193832599118943,0.9248510321344967
DecisionTreeClassifier,random,6,0.8769371011850501,0.92,0.0010675160156097263,0.9112903225806451,0.9284648982635559
DecisionTreeClassifier,random,7,0.8814949863263446,0.88,0.0010721340076997876,0.8533333333333334,0.8922968733095316
DecisionTreeClassifier,random,8,0.8705560619872379,0.9272727272727272,0.0010015319858212024,0.9137931034482759,0.9319221967963387
DecisionTreeClassifier,random,9,0.8632634457611669,0.8981818181818182,0.0010018430184572935,0.888,0.9160820578231292
DecisionTreeClassifier,random,10,0.8696444849589791,0.8872727272727273,0.0009960909956134856,0.8634361233480177,0.893747325631151
DecisionTreeClassifier,random,11,0.8787602552415679,0.8618181818181818,0.0010195749928243458,0.8416666666666667,0.8816194243023512
DecisionTreeClassifier,random,12,0.8851412944393802,0.9054545454545454,0.0009761739929672331,0.8907563025210085,0.9137634408602149
DecisionTreeClassifier,random,13,0.8732907930720146,0.92,0.0009861419966910034,0.905982905982906,0.9334408602150537
DecisionTreeClassifier,random,14,0.8641750227894257,0.8690909090909091,0.0009833179938141257,0.8421052631578947,0.9297432619580271
DecisionTreeClassifier,random,15,0.8714676390154968,0.9163636363636364,0.001043060008669272,0.9132075471698113,0.9257522780250054
DecisionTreeClassifier,random,16,0.8887876025524157,0.8945454545454545,0.00097994101815857,0.8765957446808511,0.9183750134163358
DecisionTreeClassifier,random,17,0.8687329079307201,0.88,0.0009979349852073938,0.8619246861924686,0.9011684518013632
DecisionTreeClassifier,random,18,0.8805834092980857,0.8945454545454545,0.0009795810037758201,0.8806584362139918,0.8975449293966623
DecisionTreeClassifier,random,19,0.8824065633546034,0.9090909090909091,0.0009758340020198375,0.9077490774907749,0.9291230297260129
DecisionTreeClassifier,random,20,0.8705560619872379,0.9018181818181819,0.0009684500109869987,0.891566265060241,0.9259418267682731
DecisionTreeClassifier,random,21,0.8723792160437557,0.8945454545454545,0.0009510569798294455,0.8765957446808511,0.9189703203685846
DecisionTreeClassifier,random,22,0.8814949863263446,0.9090909090909091,0.0009477410058025271,0.9011857707509882,0.9230399999999999
DecisionTreeClassifier,random,23,0.8723792160437557,0.8872727272727273,0.0009441540169063956,0.8793774319066148,0.9138526069873633
DecisionTreeClassifier,random,24,0.8814949863263446,0.9054545454545454,0.0009621369827073067,0.8951612903225806,0.9168264621284754
DecisionTreeClassifier,random,25,0.8769371011850501,0.9309090909090909,0.0009488729992881417,0.9254901960784314,0.9405294556301267
DecisionTreeClassifier,random,26,0.8805834092980857,0.8981818181818182,0.0009364299767185003,0.8782608695652174,0.9179261578322359
DecisionTreeClassifier,random,27,0.8787602552415679,0.8836363636363637,0.0009370500047225505,0.8571428571428571,0.8905335068314899
DecisionTreeClassifier,random,28,0.8751139471285324,0.8909090909090909,0.0009478110005147755,0.8780487804878049,0.9057819854514335
DecisionTreeClassifier,random,29,0.8787602552415679,0.9090909090909091,0.0009444750030525029,0.900398406374502,0.9211119459053343
DecisionTreeClassifier,random,30,0.8550592525068368,0.84,0.0009581000194884837,0.8211382113821138,0.9105157259345547
DecisionTreeClassifier,random,31,0.8705560619872379,0.9018181818181819,0.000996642018435523,0.8810572687224669,0.9045125769189247
DecisionTreeClassifier,random,32,0.886964448495898,0.9090909090909091,0.0009990670077968389,0.8962655601659751,0.9185789700495582
DecisionTreeClassifier,random,33,0.8678213309024613,0.8872727272727273,0.0009446750045754015,0.8744939271255061,0.9137096774193549
DecisionTreeClassifier,random,34,0.8723792160437557,0.8981818181818182,0.0009291059977840632,0.8861788617886179,0.9310693027210885
DecisionTreeClassifier,random,35,0.8587055606198724,0.9127272727272727,0.0009381519921589643,0.8823529411764706,0.9422038567493113
DecisionTreeClassifier,random,36,0.8705560619872379,0.8981818181818182,0.0009328729938715696,0.8861788617886179,0.9073744882568412
DecisionTreeClassifier,random,37,0.8742023701002735,0.9090909090909091,0.0009758640080690384,0.900398406374502,0.9218666666666667
DecisionTreeClassifier,random,38,0.8723792160437557,0.9127272727272727,0.0009513580007478595,0.905511811023622,0.9305835543766579
DecisionTreeClassifier,random,39,0.8824065633546034,0.9127272727272727,0.0009700930095277727,0.9032258064516129,0.9258618855075549
DecisionTreeClassifier,random,40,0.8787602552415679,0.9127272727272727,0.0009453759994357824,0.905511811023622,0.9315210459183674
DecisionTreeClassifier,random,41,0.8732907930720146,0.9345454545454546,0.0009605450031813234,0.9274193548387096,0.9447488827410087
DecisionTreeClassifier,random,42,0.8842297174111212,0.88,0.0009348659950774163,0.8641975308641975,0.8905086188550755
DecisionTreeClassifier,random,43,0.8751139471285324,0.8981818181818182,0.0009487129864282906,0.8861788617886179,0.9187139500106815
DecisionTreeClassifier,random,44,0.8769371011850501,0.8981818181818182,0.0010570159938652068,0.8923076923076924,0.9088616332165234
DecisionTreeClassifier,random,45,0.8587055606198724,0.8618181818181818,0.000968619977356866,0.8061224489795918,0.9053081421502475
DecisionTreeClassifier,random,46,0.8751139471285324,0.9163636363636364,0.000983417994575575,0.9076305220883534,0.9226057313305634
DecisionTreeClassifier,random,47,0.8769371011850501,0.9127272727272727,0.0010653409990482032,0.8974358974358975,0.9174193548387096
DecisionTreeClassifier,random,48,0.8814949863263446,0.9090909090909091,0.000965003011515364,0.8987854251012146,0.9256663480938728
DecisionTreeClassifier,random,49,0.8678213309024613,0.8909090909090909,0.0009366490121465176,0.88,0.9074666666666666
DecisionTreeClassifier,random,50,0.8669097538742023,0.9272727272727272,0.0009547939989715815,0.9130434782608695,0.947983870967742
DecisionTreeClassifier,random,51,0.8805834092980857,0.9090909090909091,0.0010110890143550932,0.8898678414096917,0.9245380434782609
DecisionTreeClassifier,random,52,0.8687329079307201,0.9418181818181818,0.0009514279954601079,0.9304347826086956,0.9429720392961244
DecisionTreeClassifier,random,53,0.8751139471285324,0.9090909090909091,0.0009625979873817414,0.8962655601659751,0.9304533333333332
DecisionTreeClassifier,random,54,0.8805834092980857,0.9018181818181819,0.0009521989850327373,0.8789237668161435,0.9366026125445321
DecisionTreeClassifier,random,55,0.8659981768459435,0.9163636363636364,0.0009544929780531675,0.8949771689497716,0.9330978260869567
DecisionTreeClassifier,random,56,0.8687329079307201,0.9018181818181819,0.0010100069921463728,0.8695652173913043,0.8941170026292725
DecisionTreeClassifier,random,57,0.8751139471285324,0.88,0.0010193350026383996,0.847926267281106,0.910404467577532
DecisionTreeClassifier,random,58,0.8705560619872379,0.9054545454545454,0.001103212998714298,0.8859649122807017,0.9006679594914889
DecisionTreeClassifier,random,59,0.8760255241567912,0.8690909090909091,0.0010134239855688065,0.8487394957983193,0.8851883838929073
DecisionTreeClassifier,random,60,0.8632634457611669,0.9345454545454546,0.0011592689843382686,0.9210526315789473,0.9504032258064516
DecisionTreeClassifier,random,61,0.8760255241567912,0.9090909090909091,0.0010185340070165694,0.8858447488584474,0.9315798098983941
DecisionTreeClassifier,random,62,0.8714676390154968,0.9163636363636364,0.0010592599865049124,0.8899521531100478,0.9349019607843136
DecisionTreeClassifier,random,63,0.8641750227894257,0.8618181818181818,0.0011310950212646276,0.8288288288288288,0.908441060473269
DecisionTreeClassifier,random,64,0.8751139471285324,0.8836363636363637,0.0011190320074092597,0.8620689655172413,0.8983152173913043
DecisionTreeClassifier,random,65,0.8587055606198724,0.8472727272727273,0.0009982750052586198,0.8108108108108109,0.9013031403546252
DecisionTreeClassifier,random,66,0.8751139471285324,0.9272727272727272,0.0009955799905583262,0.9224806201550387,0.9372413793103449
DecisionTreeClassifier,random,67,0.8769371011850501,0.9018181818181819,0.0009865740139503032,0.8820960698689956,0.9152956989247312
